#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 482: Flattop Mtn., MT
# 
# Data items provided in this file:
#
# Element Name                Value Type               Function Type  Function Duration             Base Data  Measurement Units   Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent       Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Water Equivalent       % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth                  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           SNWD          Total snow depth                                                                                   
# Precipitation Accumulation  Value                    None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  Median (1991-2020)       None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Precipitation Accumulation  % of median (1991-2020)  None           Instantaneous - Start of Day  N/A        Inches              N/A           PREC          Water year accumulated precipitation                                                               
# Air Temperature Maximum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Minimum     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency                                            
# Air Temperature Average     Value                    None           Day                           N/A        Degrees fahrenheit  N/A           TAVG          Average air temperature - sub-hourly sampling frequency                                            
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Flattop Mtn. (482) 
# Montana  SNOTEL Site - 6300 ft
# Reporting Frequency: Daily; Date Range: Period of Record
#
# As of: Sep 7, 2023, 12:53:10 PM GMT-08:00
#
Date,Snow Water Equivalent (in) Start of Day Values,Median Snow Water Equivalent (1991-2020) (in) Start of Day Values,Snow Water Equivalent % of Median (1991-2020),Snow Depth (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Median Precipitation Accumulation (1991-2020) (in) Start of Day Values,Precipitation Accumulation % of Median (1991-2020),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF)
1970-01-29,28.4,26.8,106,,,33.8,,,,
1970-01-30,28.5,27.6,103,,,34.5,,,,
1970-01-31,28.5,28.0,102,,,34.8,,,,
1970-02-01,29.1,28.3,103,,,34.9,,,,
1970-02-02,29.6,28.7,103,,,35.0,,,,
1970-02-03,29.6,28.8,103,,,35.0,,,,
1970-02-04,30.2,28.8,105,,,35.4,,,,
1970-02-05,30.4,28.8,106,,,36.0,,,,
1970-02-06,30.4,29.0,105,,,36.0,,,,
1970-02-07,30.7,29.0,106,,,36.8,,,,
1970-02-08,30.7,29.1,106,,,37.6,,,,
1970-02-09,30.7,29.3,105,,,38.2,,,,
1970-02-10,30.7,29.6,104,,,38.3,,,,
1970-02-11,30.7,29.7,103,,,38.6,,,,
1970-02-12,30.7,29.9,103,,,38.6,,,,
1970-02-13,30.7,30.2,102,,,38.6,,,,
1970-02-14,30.9,30.2,102,,,38.8,,,,
1970-02-15,31.5,30.5,103,,,38.9,,,,
1970-02-16,32.0,31.3,102,,,38.9,,,,
1970-02-17,33.6,31.4,107,,,38.9,,,,
1970-02-18,35.4,31.6,112,,,38.9,,,,
1970-02-19,35.8,32.1,112,,,39.0,,,,
1970-02-20,35.9,32.4,111,,,39.2,,,,
1970-02-21,36.0,32.8,110,,,39.4,,,,
1970-02-22,36.0,33.1,109,,,40.0,,,,
1970-02-23,36.0,33.8,107,,,40.6,,,,
1970-02-24,36.0,34.0,106,,,40.8,,,,
1970-02-25,36.0,34.2,105,,,41.2,,,,
1970-02-26,36.0,35.0,103,,,42.2,,,,
1970-02-27,36.2,35.4,102,,,42.7,,,,
1970-02-28,36.4,35.4,103,,,42.8,,,,
1970-03-01,36.4,35.7,102,,,43.2,,,,
1970-03-02,36.7,35.9,102,,,43.5,,,,
1970-03-03,37.1,36.4,102,,,44.0,,,,
1970-03-04,37.3,37.1,101,,,44.3,,,,
1970-03-05,37.4,37.5,100,,,44.6,,,,
1970-03-06,37.5,37.6,100,,,45.0,,,,
1970-03-07,38.2,37.8,101,,,45.3,,,,
1970-03-08,38.8,38.2,102,,,45.4,,,,
1970-03-09,39.0,38.5,101,,,45.6,,,,
1970-03-10,39.0,39.0,100,,,46.0,,,,
1970-03-11,39.0,39.2,99,,,46.5,,,,
1970-03-12,39.0,39.8,98,,,47.0,,,,
1970-03-13,39.2,40.0,98,,,47.0,,,,
1970-03-14,39.3,40.0,98,,,47.4,,,,
1970-03-15,39.6,40.2,99,,,47.6,,,,
1970-03-16,39.8,40.4,99,,,48.0,,,,
1970-03-17,40.1,40.8,98,,,48.4,,,,
1970-03-18,40.2,40.9,98,,,48.8,,,,
1970-03-19,40.2,41.2,98,,,48.9,,,,
1970-03-20,40.2,41.6,97,,,49.0,,,,
1970-03-21,40.5,41.8,97,,,49.1,,,,
1970-03-22,40.6,42.2,96,,,49.7,,,,
1970-03-23,40.9,42.8,96,,,49.8,,,,
1970-03-24,41.7,43.0,97,,,49.8,,,,
1970-03-25,42.1,43.5,97,,,50.0,,,,
1970-03-26,42.6,43.6,98,,,50.0,,,,
1970-03-27,42.8,43.8,98,,,50.2,,,,
1970-03-28,43.1,44.0,98,,,50.2,,,,
1970-03-29,43.6,44.1,99,,,50.8,,,,
1970-03-30,43.7,44.2,99,,,50.9,,,,
1970-03-31,43.7,44.2,99,,,51.0,,,,
1970-04-01,44.0,43.8,100,,,51.3,,,,
1970-04-02,44.2,43.8,101,,,51.4,,,,
1970-04-03,44.4,43.9,101,,,51.4,,,,
1970-04-04,44.6,44.0,101,,,51.6,,,,
1970-04-05,45.3,44.4,102,,,52.6,,,,
1970-04-06,46.0,44.4,104,,,53.0,,,,
1970-04-07,46.0,44.4,104,,,53.1,,,,
1970-04-08,46.0,44.7,103,,,53.1,,,,
1970-04-09,46.2,45.2,102,,,53.2,,,,
1970-04-10,47.0,45.2,104,,,53.2,,,,
1970-04-11,47.0,45.2,104,,,53.5,,,,
1970-04-12,47.1,45.3,104,,,53.6,,,,
1970-04-13,47.7,45.6,105,,,53.8,,,,
1970-04-14,48.4,45.6,106,,,54.0,,,,
1970-04-15,47.2,45.6,104,,,54.2,,,,
1970-04-16,47.2,45.7,103,,,54.6,,,,
1970-04-17,47.4,46.0,103,,,54.8,,,,
1970-04-18,47.5,46.2,103,,,54.8,,,,
1970-04-19,48.1,46.2,104,,,54.8,,,,
1970-04-20,48.1,46.4,104,,,55.0,,,,
1970-04-21,48.1,46.7,103,,,55.1,,,,
1970-04-22,48.1,46.0,105,,,55.1,,,,
1970-04-23,48.1,46.0,105,,,55.2,,,,
1970-04-24,49.5,46.2,107,,,55.2,,,,
1970-04-25,50.4,45.6,111,,,55.8,,,,
1970-04-26,50.4,45.6,111,,,55.8,,,,
1970-04-27,50.8,44.9,113,,,55.9,,,,
1970-04-28,50.8,44.8,113,,,56.1,,,,
1970-04-29,50.8,44.4,114,,,56.2,,,,
1970-04-30,50.8,44.0,115,,,56.2,,,,
1970-05-01,50.8,44.2,115,,,56.2,,,,
1970-05-02,51.0,44.5,115,,,56.3,,,,
1970-05-03,51.2,45.2,113,,,56.4,,,,
1970-05-04,51.5,44.7,115,,,56.6,,,,
1970-05-05,51.6,44.6,116,,,56.7,,,,
1970-05-06,52.0,44.4,117,,,56.9,,,,
1970-05-07,52.0,44.4,117,,,57.0,,,,
1970-05-08,52.0,45.2,115,,,57.2,,,,
1970-05-09,51.9,45.1,115,,,57.8,,,,
1970-05-10,51.7,45.0,115,,,57.8,,,,
1970-05-11,51.5,44.8,115,,,57.8,,,,
1970-05-12,51.2,44.3,116,,,58.0,,,,
1970-05-13,51.0,43.9,116,,,58.8,,,,
1970-05-14,50.8,43.3,117,,,58.8,,,,
1970-05-15,50.6,42.7,119,,,58.8,,,,
1970-05-16,50.2,42.1,119,,,59.0,,,,
1970-05-17,48.5,42.0,115,,,59.0,,,,
1970-05-18,46.2,41.7,111,,,59.2,,,,
1970-05-19,44.6,41.2,108,,,59.4,,,,
1970-05-20,44.3,40.9,108,,,59.4,,,,
1970-05-21,43.8,40.4,108,,,59.5,,,,
1970-05-22,42.0,40.0,105,,,59.6,,,,
1970-05-23,40.5,39.2,103,,,59.8,,,,
1970-05-24,39.8,38.8,103,,,60.2,,,,
1970-05-25,37.5,38.2,98,,,60.3,,,,
1970-05-26,35.8,37.6,95,,,60.4,,,,
1970-05-27,35.1,37.0,95,,,60.8,,,,
1970-05-28,32.8,36.4,90,,,61.0,,,,
1970-05-29,32.3,35.8,90,,,61.1,,,,
1970-05-30,30.8,35.4,87,,,61.2,,,,
1970-05-31,29.9,34.1,88,,,61.2,,,,
1970-06-01,28.7,33.6,85,,,61.2,,,,
1970-06-02,27.3,32.6,84,,,61.2,,,,
1970-06-03,26.2,31.8,82,,,61.3,,,,
1970-06-04,24.3,30.9,79,,,61.3,,,,
1970-06-05,22.1,29.6,75,,,61.3,,,,
1970-06-06,19.8,28.6,69,,,61.3,,,,
1970-06-07,18.3,27.5,67,,,62.1,,,,
1970-06-08,16.6,26.4,63,,,62.3,,,,
1970-06-09,14.4,25.8,56,,,62.6,,,,
1970-06-10,12.9,24.9,52,,,62.6,,,,
1970-06-11,11.6,24.4,48,,,62.6,,,,
1970-06-12,10.5,23.6,44,,,63.0,,,,
1970-06-13,9.6,23.0,42,,,63.0,,,,
1970-06-14,7.8,22.4,35,,,63.5,,,,
1970-06-15,6.0,22.2,27,,,63.7,,,,
1970-06-16,4.2,21.0,20,,,64.0,,,,
1970-06-17,2.4,20.5,12,,,64.0,,,,
1970-06-18,0.2,19.2,1,,,65.2,,,,
1970-06-19,0.0,18.0,0,,,65.3,,,,
1970-06-20,0.0,16.6,0,,,66.2,,,,
1970-06-21,0.0,15.2,0,,,66.4,,,,
1970-06-22,0.0,14.4,0,,,66.6,,,,
1970-06-23,0.0,13.8,0,,,66.8,,,,
1970-06-24,0.0,13.2,0,,,67.0,,,,
1970-06-25,0.0,12.4,0,,,67.0,,,,
1970-06-26,0.0,11.2,0,,,67.3,,,,
1970-06-27,0.0,10.0,0,,,67.5,,,,
1970-06-28,0.0,8.4,0,,,67.5,,,,
1970-06-29,0.0,6.8,0,,,67.5,,,,
1970-06-30,0.0,5.0,0,,,67.9,,,,
1970-07-01,0.0,2.8,0,,,68.3,,,,
1970-07-02,0.0,1.3,0,,,68.6,,,,
1970-07-03,0.0,0.5,0,,,68.8,,,,
1970-07-04,0.0,0.0,,,,68.8,,,,
1970-07-05,0.0,0.0,,,,68.9,,,,
1970-07-06,0.0,0.0,,,,69.0,,,,
1970-07-07,0.0,0.0,,,,69.0,,,,
1970-07-08,0.0,0.0,,,,69.2,,,,
1970-07-09,0.0,0.0,,,,69.2,,,,
1970-07-10,0.0,0.0,,,,69.2,,,,
1970-07-11,0.0,0.0,,,,69.4,,,,
1970-07-12,0.0,0.0,,,,69.4,,,,
1970-07-13,0.0,0.0,,,,69.5,,,,
1970-07-14,0.0,0.0,,,,69.5,,,,
1970-07-15,0.0,0.0,,,,69.5,,,,
1970-07-16,0.0,0.0,,,,69.5,,,,
1970-07-17,0.0,0.0,,,,69.5,,,,
1970-07-18,0.0,0.0,,,,69.5,,,,
1970-07-19,0.0,0.0,,,,69.5,,,,
1970-07-20,0.0,0.0,,,,69.6,,,,
1970-07-21,0.0,0.0,,,,69.6,,,,
1970-07-22,0.0,0.0,,,,69.6,,,,
1970-07-23,0.0,0.0,,,,69.6,,,,
1970-07-24,0.0,0.0,,,,69.6,,,,
1970-07-25,0.0,0.0,,,,69.6,,,,
1970-07-26,0.0,0.0,,,,69.6,,,,
1970-07-27,0.0,0.0,,,,69.6,,,,
1970-07-28,0.0,0.0,,,,69.6,,,,
1970-07-29,0.0,0.0,,,,69.6,,,,
1970-07-30,0.0,0.0,,,,69.6,,,,
1970-07-31,0.0,0.0,,,,69.6,,,,
1970-08-01,0.0,0.0,,,,69.6,,,,
1970-08-02,0.0,0.0,,,,69.6,,,,
1970-08-03,0.0,0.0,,,,69.6,,,,
1970-08-04,0.0,0.0,,,,69.6,,,,
1970-08-05,0.0,0.0,,,,69.6,,,,
1970-08-06,0.0,0.0,,,,69.6,,,,
1970-08-07,0.0,0.0,,,,69.8,,,,
1970-08-08,0.0,0.0,,,,69.8,,,,
1970-08-09,0.0,0.0,,,,69.8,,,,
1970-08-10,0.0,0.0,,,,69.9,,,,
1970-08-11,0.0,0.0,,,,70.3,,,,
1970-08-12,0.0,0.0,,,,70.3,,,,
1970-08-13,0.0,0.0,,,,70.4,,,,
1970-08-14,0.0,0.0,,,,70.5,,,,
1970-08-15,0.0,0.0,,,,70.5,,,,
1970-08-16,0.0,0.0,,,,70.5,,,,
1970-08-17,0.0,0.0,,,,70.5,,,,
1970-08-18,0.0,0.0,,,,70.5,,,,
1970-08-19,0.0,0.0,,,,70.6,,,,
1970-08-20,0.0,0.0,,,,70.6,,,,
1970-08-21,0.0,0.0,,,,70.6,,,,
1970-08-22,0.0,0.0,,,,70.6,,,,
1970-08-23,0.0,0.0,,,,70.6,,,,
1970-08-24,0.0,0.0,,,,70.6,,,,
1970-08-25,0.0,0.0,,,,70.6,,,,
1970-08-26,0.0,0.0,,,,70.8,,,,
1970-08-27,0.0,0.0,,,,70.8,,,,
1970-08-28,0.0,0.0,,,,70.8,,,,
1970-08-29,0.0,0.0,,,,70.8,,,,
1970-08-30,0.0,0.0,,,,70.8,,,,
1970-08-31,0.0,0.0,,,,70.8,,,,
1970-09-01,0.0,0.0,,,,70.9,,,,
1970-09-02,0.0,0.0,,,,71.0,,,,
1970-09-03,0.0,0.0,,,,71.2,,,,
1970-09-04,0.0,0.0,,,,71.2,,,,
1970-09-05,0.0,0.0,,,,71.2,,,,
1970-09-06,0.0,0.0,,,,71.4,,,,
1970-09-07,0.0,0.0,,,,71.4,,,,
1970-09-08,0.0,0.0,,,,71.4,,,,
1970-09-09,0.0,0.0,,,,71.4,,,,
1970-09-10,0.0,0.0,,,,71.5,,,,
1970-09-11,0.0,0.0,,,,71.5,,,,
1970-09-12,0.0,0.0,,,,71.6,,,,
1970-09-13,0.0,0.0,,,,71.7,,,,
1970-09-14,0.0,0.0,,,,72.1,,,,
1970-09-15,0.0,0.0,,,,72.2,,,,
1970-09-16,0.0,0.0,,,,72.2,,,,
1970-09-17,0.0,0.0,,,,72.6,,,,
1970-09-18,0.0,0.0,,,,72.6,,,,
1970-09-19,0.0,0.0,,,,72.7,,,,
1970-09-20,0.0,0.0,,,,72.8,,,,
1970-09-21,0.0,0.0,,,,73.0,,,,
1970-09-22,0.0,0.0,,,,73.4,,,,
1970-09-23,0.0,0.0,,,,73.8,,,,
1970-09-24,0.0,0.0,,,,73.8,,,,
1970-09-25,0.0,0.0,,,,73.9,,,,
1970-09-26,0.0,0.0,,,,74.0,,,,
1970-09-27,0.0,0.0,,,,74.0,,,,
1970-09-28,0.0,0.0,,,,74.0,,,,
1970-09-29,0.0,0.0,,,,74.0,,,,
1970-09-30,0.0,0.0,,,,74.0,,,,
1970-10-01,0.0,0.0,,,,0.0,,,,
1970-10-02,0.0,0.0,,,,0.0,,,,
1970-10-03,0.0,0.1,0,,,0.2,,,,
1970-10-04,0.0,0.2,0,,,0.2,,,,
1970-10-05,0.0,0.0,,,,0.4,,,,
1970-10-06,0.1,0.0,,,,0.7,,,,
1970-10-07,0.2,0.1,200,,,0.8,,,,
1970-10-08,0.2,0.2,100,,,0.8,,,,
1970-10-09,0.5,0.0,,,,1.2,,,,
1970-10-10,0.7,0.0,,,,1.2,,,,
1970-10-11,0.7,0.2,350,,,1.2,,,,
1970-10-12,0.7,0.2,350,,,1.4,,,,
1970-10-13,0.7,0.4,175,,,1.7,,,,
1970-10-14,0.7,0.4,175,,,1.8,,,,
1970-10-15,0.7,0.6,117,,,2.2,,,,
1970-10-16,0.9,0.6,150,,,2.2,,,,
1970-10-17,0.9,0.6,150,,,2.3,,,,
1970-10-18,0.9,0.6,150,,,2.6,,,,
1970-10-19,0.9,0.6,150,,,2.7,,,,
