Run   obj.function   par_x01   par_x02   par_x03   par_x04   par_x05   par_x06   par_x07   par_x08   par_x09   par_x10   par_x11   par_x12   par_x13   par_x14   par_x15   par_x16   par_x17   par_x18   par_x19   par_x20   par_x21   par_x22   par_x23   par_x24   par_x25   par_x26   par_x27   par_x28   par_x29   par_x32   par_x33   par_x34   par_x35   par_x36   par_x37   par_x38   par_x39   par_x40   par_x53   par_x54   par_x55   par_x56   par_x57   par_x58   par_x59   par_x60   par_x61   par_x62   par_x63   par_x64
11   -5.84E-01   1.18E-01   5.22E-01   9.13E-01   1.58E-01   1.15E+00   4.90E-02   6.39E+00   1.57E+00   5.35E+00   3.10E+00   1.24E+00   7.86E-01   1.18E+00   4.43E-01   5.10E-01   6.13E-01   5.50E-02   9.44E-02   1.77E-01   9.69E+00   9.97E+01   2.57E-01   4.74E-02   1.92E-01   3.32E-02   7.94E+00   3.54E-02   2.24E-01   1.36E-01   3.60E+00   4.03E+00   6.99E+00   5.02E+00   -1.44E-01   -3.50E-01   3.03E+00   6.67E-01   2.11E-01   1.84E-01   1.42E-01   1.05E-01   1.40E-01   1.18E-01   4.92E-02   5.10E+00   9.17E+00   1.88E+01   1.11E+01   9.43E-01   3.95E-01
12   -6.84E-01   3.51E-01   1.40E-01   9.13E-01   1.58E-01   1.15E+00   4.90E-02   6.39E+00   1.71E+00   4.51E+00   4.05E+00   1.25E+00   7.86E-01   1.18E+00   5.27E-01   5.88E-01   6.13E-01   2.49E-02   5.02E-02   1.42E-01   9.69E+00   7.55E+01   2.57E-01   4.74E-02   1.05E-01   3.32E-02   7.94E+00   3.54E-02   2.24E-01   1.03E-02   3.37E+00   3.82E+00   6.75E+00   4.52E+00   -1.44E-01   -3.50E-01   3.30E+00   6.87E-01   1.50E-01   1.84E-01   9.95E-02   1.05E-01   1.40E-01   1.18E-01   3.06E-02   5.10E+00   8.68E+00   1.54E+01   1.65E+01   9.43E-01   3.46E-01
13   -7.08E-01   3.30E-01   2.15E-01   9.13E-01   4.28E-01   1.15E+00   4.33E-02   6.39E+00   4.72E-01   5.35E+00   4.05E+00   1.15E+00   9.32E-01   1.16E+00   4.73E-01   5.10E-01   6.13E-01   1.88E-02   9.44E-02   1.77E-01   9.69E+00   6.14E+01   3.16E-01   4.71E-02   5.99E-02   3.32E-02   7.94E+00   3.54E-02   2.24E-01   1.68E-01   3.60E+00   4.03E+00   6.28E+00   4.52E+00   -1.44E-01   -3.50E-01   2.72E+00   6.87E-01   9.59E-02   1.84E-01   1.76E-01   1.05E-01   1.40E-01   1.18E-01   1.03E-01   5.10E+00   1.07E+01   1.54E+01   1.75E+01   1.02E+00   3.65E-01
14   -7.41E-01   3.30E-01   1.59E-01   9.13E-01   1.58E-01   1.15E+00   4.90E-02   6.39E+00   1.10E+00   5.35E+00   3.27E+00   1.19E+00   7.86E-01   1.11E+00   4.21E-01   5.10E-01   6.13E-01   5.00E-02   9.44E-02   1.60E-01   9.26E+00   6.14E+01   2.57E-01   4.74E-02   5.45E-02   3.32E-02   8.10E+00   4.41E-02   2.24E-01   1.03E-02   4.31E+00   4.03E+00   6.99E+00   4.52E+00   -4.38E-01   -1.89E-01   2.72E+00   6.56E-01   1.50E-01   1.84E-01   9.95E-02   1.54E-01   1.40E-01   1.18E-01   3.06E-02   5.10E+00   1.07E+01   1.54E+01   1.34E+01   9.15E-01   5.80E-01
15   -4.80E-01   1.26E-01   1.41E-01   9.95E-01   1.75E-01   2.28E-01   4.40E-02   6.39E+00   4.91E-02   5.35E+00   4.96E+00   1.24E+00   1.01E+00   1.16E+00   4.09E-01   5.10E-01   6.13E-01   1.88E-02   1.29E-01   1.41E-01   9.69E+00   6.14E+01   2.85E-01   4.74E-02   9.00E-03   3.34E-02   7.94E+00   3.54E-02   2.24E-01   7.95E-02   3.20E+00   3.90E+00   6.99E+00   4.52E+00   -1.44E-01   -3.50E-01   2.04E+00   6.87E-01   1.16E-01   1.84E-01   7.32E-02   1.05E-01   1.40E-01   8.02E-02   6.60E-02   5.10E+00   1.46E+01   1.12E+01   1.56E+01   9.43E-01   8.12E-01
16   -7.57E-01   3.30E-01   1.41E-01   9.13E-01   1.58E-01   2.72E+00   5.16E-02   6.01E+00   4.72E-01   5.98E+00   4.05E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.14E-01   6.13E-01   1.88E-02   9.44E-02   1.51E-01   7.57E+00   6.14E+01   4.96E-01   4.74E-02   5.45E-02   1.28E-01   7.94E+00   5.01E-02   2.24E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -4.82E-01   2.74E+00   6.87E-01   1.50E-01   1.16E-01   9.95E-02   6.65E-02   1.40E-01   1.18E-01   6.07E-02   4.18E+00   1.07E+01   1.54E+01   1.34E+01   9.16E-01   2.16E-01
17   -4.27E-01   3.30E-01   3.24E-01   9.74E-01   1.58E-01   2.72E+00   4.71E-02   6.01E+00   4.72E-01   5.28E+00   2.72E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.14E-01   4.87E-01   1.88E-02   9.44E-02   1.51E-01   1.73E+01   6.14E+01   2.95E-01   4.74E-02   1.79E-03   1.83E-01   7.94E+00   5.01E-02   2.03E-01   6.05E-02   5.98E+00   3.97E+00   6.52E+00   6.44E+00   -3.85E-01   -3.82E-01   2.74E+00   6.87E-01   2.22E-01   1.16E-01   9.95E-02   4.64E-02   1.65E-01   1.18E-01   6.07E-02   4.18E+00   1.07E+01   1.54E+01   1.35E+01   8.35E-01   2.16E-01
18   -7.20E-01   3.30E-01   3.42E-01   8.56E-01   1.58E-01   2.72E+00   5.16E-02   6.01E+00   4.72E-01   5.98E+00   4.05E+00   1.11E+00   7.86E-01   1.18E+00   4.21E-01   5.14E-01   6.13E-01   6.75E-02   9.44E-02   1.30E-01   7.57E+00   7.83E+01   4.35E-01   4.74E-02   5.45E-02   1.28E-01   7.94E+00   5.01E-02   2.24E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -4.82E-01   2.74E+00   6.87E-01   1.04E-01   1.16E-01   9.95E-02   6.65E-02   1.01E-01   8.54E-02   1.43E-01   4.72E+00   1.07E+01   1.54E+01   1.50E+01   8.84E-01   2.19E-01
19   -7.53E-01   3.30E-01   1.41E-01   9.13E-01   1.58E-01   2.72E+00   5.16E-02   6.20E+00   4.72E-01   5.98E+00   6.00E+00   1.24E+00   7.86E-01   1.23E+00   4.89E-01   5.14E-01   6.21E-01   1.88E-02   9.44E-02   1.94E-01   8.55E+00   6.14E+01   4.60E-01   4.74E-02   5.45E-02   7.88E-02   7.94E+00   5.01E-02   2.24E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -4.38E-01   -3.31E-01   2.96E+00   9.61E-01   2.09E-01   1.16E-01   9.95E-02   6.65E-02   6.07E-02   1.26E-01   6.07E-02   4.18E+00   1.05E+01   1.54E+01   6.57E+00   9.16E-01   2.16E-01
20   -7.46E-01   3.30E-01   1.28E-01   8.67E-01   2.55E-01   3.14E+00   5.16E-02   6.12E+00   4.72E-01   5.56E+00   3.27E+00   1.23E+00   7.76E-01   1.13E+00   4.21E-01   6.12E-01   6.13E-01   4.50E-02   9.44E-02   1.01E-01   1.00E+01   6.14E+01   4.54E-01   9.76E-02   5.45E-02   9.82E-02   8.35E+00   5.01E-02   2.24E-01   1.03E-02   3.54E+00   4.03E+00   6.77E+00   4.52E+00   -3.00E-01   -4.82E-01   3.89E+00   6.87E-01   1.50E-01   1.16E-01   9.95E-02   6.84E-02   1.31E-01   1.18E-01   1.47E-01   1.13E+01   1.07E+01   1.54E+01   1.22E+01   1.05E+00   2.16E-01
21   -7.25E-01   3.30E-01   1.41E-01   9.13E-01   6.64E-01   3.43E+00   5.16E-02   5.96E+00   1.78E+00   5.98E+00   4.39E+00   1.04E+00   9.60E-01   1.18E+00   4.58E-01   4.09E-01   6.13E-01   1.88E-02   9.44E-02   1.51E-01   7.57E+00   6.14E+01   3.72E-01   4.74E-02   5.45E-02   1.28E-01   9.84E+00   1.30E-01   2.24E-01   6.00E-02   4.61E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -4.44E-01   2.74E+00   6.87E-01   1.50E-01   1.16E-01   9.95E-02   6.65E-02   1.40E-01   1.18E-01   6.07E-02   4.18E+00   1.07E+01   1.54E+01   1.34E+01   9.16E-01   2.16E-01
22   -5.80E-01   3.03E-01   1.41E-01   9.20E-01   1.58E-01   3.12E+00   5.16E-02   6.01E+00   1.68E+00   5.98E+00   3.27E+00   1.18E+00   7.86E-01   1.16E+00   4.07E-01   5.14E-01   6.71E-01   6.87E-03   1.22E-01   1.51E-01   7.57E+00   4.84E+01   4.96E-01   4.74E-02   2.60E-01   8.67E-02   6.22E+00   2.65E-02   2.24E-01   1.03E-02   3.93E+00   4.03E+00   5.48E+00   3.60E+00   -1.21E-01   -4.94E-01   2.74E+00   6.87E-01   1.50E-01   1.21E-01   9.95E-02   6.68E-02   1.40E-01   1.33E-01   8.76E-02   7.24E+00   1.70E+01   1.54E+01   1.96E+01   9.41E-01   2.16E-01
23   -7.31E-01   2.72E-01   1.41E-01   8.07E-01   1.58E-01   2.43E+00   5.16E-02   6.07E+00   2.34E+00   5.98E+00   2.22E+00   1.24E+00   8.59E-01   1.18E+00   4.21E-01   5.14E-01   5.57E-01   2.81E-02   9.44E-02   1.51E-01   9.79E+00   6.14E+01   4.96E-01   4.74E-02   4.33E-02   2.57E-01   7.94E+00   5.01E-02   2.24E-01   1.54E-01   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -1.63E-01   2.74E+00   8.33E-01   3.11E-02   1.32E-01   1.57E-01   6.65E-02   1.70E-01   1.38E-01   6.07E-02   4.18E+00   1.07E+01   2.00E+01   8.30E+00   9.16E-01   3.10E-01
24   -5.96E-01   3.06E-01   2.83E-01   9.13E-01   1.58E-01   1.09E+00   5.79E-02   6.01E+00   4.72E-01   5.12E+00   3.39E+00   1.14E+00   7.65E-01   1.12E+00   4.21E-01   5.14E-01   6.13E-01   2.35E-02   9.44E-02   1.22E-01   9.59E+00   6.14E+01   4.42E-01   4.74E-02   1.38E-01   1.28E-01   8.58E+00   5.01E-02   2.24E-01   1.03E-02   3.26E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -2.65E-01   2.74E+00   7.10E-01   1.50E-01   1.13E-01   9.26E-02   6.65E-02   1.27E-01   1.18E-01   2.33E-02   4.18E+00   1.59E+01   1.54E+01   7.96E+00   9.33E-01   2.47E-01
25   -7.03E-01   3.30E-01   3.71E-01   9.13E-01   -1.57E-01   2.72E+00   4.42E-02   5.17E+00   4.72E-01   6.72E+00   4.05E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.89E-01   5.70E-01   1.88E-02   9.44E-02   1.51E-01   7.57E+00   3.41E+01   4.97E-01   1.52E-02   5.45E-02   1.28E-01   7.87E+00   5.01E-02   2.24E-01   4.39E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -4.97E-01   -4.82E-01   1.24E+00   6.87E-01   1.50E-01   1.16E-01   1.36E-01   6.65E-02   1.82E-01   1.07E-01   6.07E-02   1.16E+01   1.12E+01   1.36E+01   1.34E+01   9.16E-01   2.94E-01
26   -5.65E-01   3.30E-01   1.41E-01   9.13E-01   4.22E-01   2.72E+00   5.16E-02   6.01E+00   5.63E-01   5.98E+00   4.05E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.14E-01   6.13E-01   7.27E-02   9.17E-02   1.51E-01   7.57E+00   5.67E+01   4.96E-01   8.34E-02   9.28E-03   3.96E-02   7.94E+00   9.70E-02   2.24E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -4.82E-01   2.74E+00   9.49E-01   1.57E-01   4.97E-02   6.72E-02   6.65E-02   1.53E-01   1.36E-01   6.07E-02   4.18E+00   1.20E+01   1.54E+01   1.41E+01   9.16E-01   4.03E-01
27   -6.88E-01   8.22E-01   1.41E-01   8.87E-01   1.58E-01   1.97E+00   5.16E-02   6.01E+00   5.42E-01   5.98E+00   4.05E+00   1.23E+00   7.86E-01   1.13E+00   7.07E-01   5.14E-01   6.13E-01   1.88E-02   7.00E-02   1.51E-01   7.57E+00   8.35E+01   4.96E-01   4.74E-02   1.17E-01   1.28E-01   7.94E+00   5.10E-02   2.24E-01   1.03E-02   3.11E+00   4.80E+00   6.52E+00   4.52E+00   -3.85E-01   -4.82E-01   2.99E+00   6.87E-01   1.09E-01   1.16E-01   1.35E-01   6.65E-02   1.71E-01   1.18E-01   5.72E-02   4.18E+00   1.07E+01   1.54E+01   1.05E+01   9.16E-01   2.16E-01
28   -7.43E-01   3.24E-01   1.74E-01   9.13E-01   2.83E-01   1.83E+00   5.51E-02   5.26E+00   4.72E-01   5.98E+00   2.94E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.14E-01   6.13E-01   1.88E-02   1.11E-01   1.51E-01   7.57E+00   7.39E+01   2.79E-01   4.29E-02   5.45E-02   1.28E-01   7.94E+00   5.01E-02   2.24E-01   1.03E-02   3.77E+00   4.03E+00   5.41E+00   4.52E+00   -3.85E-01   -4.82E-01   3.60E+00   6.99E-01   1.50E-01   1.30E-01   9.39E-02   4.59E-02   1.54E-01   1.18E-01   6.07E-02   4.18E+00   1.07E+01   1.64E+01   1.34E+01   9.16E-01   2.59E-01
29   -7.45E-01   6.26E-01   1.57E-01   9.13E-01   1.58E-01   2.72E+00   5.16E-02   6.01E+00   4.72E-01   5.98E+00   4.05E+00   1.21E+00   8.31E-01   1.18E+00   4.54E-01   5.09E-01   4.26E-01   1.88E-02   4.84E-02   1.51E-01   7.57E+00   6.57E+01   4.31E-01   4.74E-02   5.45E-02   6.87E-02   7.94E+00   2.77E-01   2.24E-01   1.03E-02   3.45E+00   3.36E+00   6.52E+00   4.32E+00   -1.05E-01   -4.82E-01   2.19E+00   6.87E-01   1.50E-01   1.34E-01   9.95E-02   6.65E-02   1.64E-01   8.71E-02   6.07E-02   4.18E+00   1.07E+01   1.54E+01   1.34E+01   9.16E-01   3.27E-01
30   -7.30E-01   1.77E-01   1.41E-01   9.13E-01   1.58E-01   2.72E+00   5.16E-02   6.01E+00   1.59E+00   5.98E+00   6.22E+00   1.24E+00   9.75E-01   1.07E+00   4.21E-01   5.14E-01   6.13E-01   4.14E-02   9.10E-02   5.16E-02   7.57E+00   6.14E+01   4.42E-01   2.18E-02   5.45E-02   1.28E-01   5.23E+00   5.01E-02   2.24E-01   4.21E-02   3.93E+00   4.87E+00   6.52E+00   3.98E+00   -4.25E-01   -1.45E-01   3.98E+00   7.15E-01   1.50E-01   1.16E-01   9.68E-02   6.65E-02   1.40E-01   1.18E-01   6.07E-02   3.46E+00   1.07E+01   1.54E+01   8.03E+00   9.16E-01   2.16E-01
31   -7.48E-01   3.92E-01   1.41E-01   9.13E-01   7.94E-01   2.72E+00   5.16E-02   6.01E+00   4.92E-01   5.98E+00   2.84E+00   1.24E+00   7.86E-01   1.18E+00   4.89E-01   5.14E-01   6.13E-01   3.27E-02   9.44E-02   1.80E-01   1.09E+01   6.02E+01   4.63E-01   4.74E-02   5.45E-02   1.28E-01   9.96E+00   7.43E-02   2.24E-01   1.03E-02   3.63E+00   4.03E+00   5.98E+00   4.27E+00   -3.85E-01   -2.77E-01   3.01E+00   6.87E-01   1.07E-01   1.16E-01   1.08E-01   6.65E-02   1.40E-01   1.18E-01   5.50E-02   4.18E+00   7.77E+00   1.54E+01   1.34E+01   9.16E-01   4.34E-01
32   -7.16E-01   3.30E-01   7.26E-01   9.13E-01   1.58E-01   2.72E+00   5.33E-02   6.01E+00   4.72E-01   5.98E+00   4.05E+00   1.24E+00   7.86E-01   1.14E+00   4.21E-01   5.14E-01   5.05E-01   1.88E-02   9.44E-02   1.26E-01   7.57E+00   6.14E+01   4.96E-01   9.78E-02   5.45E-02   1.28E-01   9.40E+00   2.21E-03   2.24E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -2.19E-01   -4.14E-01   2.74E+00   6.23E-01   1.50E-01   5.68E-02   1.12E-01   6.65E-02   1.40E-01   1.18E-01   9.13E-02   4.46E+00   1.14E+01   1.54E+01   1.66E+01   9.16E-01   2.16E-01
33   -6.36E-01   3.30E-01   1.41E-01   9.13E-01   1.58E-01   2.72E+00   5.21E-02   5.57E+00   4.72E-01   4.97E+00   4.05E+00   1.24E+00   7.86E-01   1.17E+00   4.07E-01   5.14E-01   6.13E-01   1.88E-02   4.27E-02   1.51E-01   7.57E+00   9.82E+01   4.96E-01   4.74E-02   1.33E-01   1.51E-01   8.89E+00   5.01E-02   2.83E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -3.85E-01   -4.80E-01   2.32E+00   6.87E-01   1.50E-01   1.16E-01   9.95E-02   6.65E-02   1.40E-01   1.18E-01   6.07E-02   2.25E+00   1.07E+01   1.54E+01   1.34E+01   8.77E-01   2.16E-01
34   -7.45E-01   3.30E-01   1.41E-01   7.24E-01   1.58E-01   2.25E+00   5.45E-02   6.01E+00   4.72E-01   6.95E+00   3.07E+00   9.68E-01   7.86E-01   1.18E+00   4.21E-01   5.14E-01   6.13E-01   4.68E-02   1.30E-01   1.51E-01   1.16E+00   6.14E+01   4.69E-01   4.74E-02   5.45E-02   2.83E-01   8.26E+00   1.22E-01   2.24E-01   1.03E-02   4.81E+00   3.42E+00   6.52E+00   4.64E+00   -4.37E-01   -3.88E-01   2.74E+00   7.05E-01   1.50E-01   5.02E-02   9.95E-02   6.65E-02   1.98E-01   1.18E-01   6.07E-02   4.18E+00   1.07E+01   1.41E+01   1.97E+01   9.16E-01   2.16E-01
35   -7.36E-01   3.30E-01   2.38E-01   9.57E-01   1.58E-01   2.72E+00   5.16E-02   5.55E+00   4.72E-01   5.25E+00   4.05E+00   1.15E+00   7.86E-01   1.18E+00   5.28E-01   5.77E-01   6.05E-01   9.28E-03   9.44E-02   1.67E-01   7.57E+00   6.14E+01   3.95E-01   4.46E-02   5.45E-02   1.43E-01   7.94E+00   5.01E-02   2.24E-01   1.03E-02   3.99E+00   4.03E+00   6.15E+00   5.77E+00   -3.85E-01   -4.82E-01   2.74E+00   8.02E-01   1.11E-01   1.16E-01   1.12E-01   6.65E-02   1.40E-01   1.18E-01   6.07E-02   4.18E+00   1.07E+01   1.58E+01   1.34E+01   8.23E-01   2.16E-01
36   -7.54E-01   3.30E-01   1.41E-01   9.13E-01   1.58E-01   2.72E+00   5.16E-02   6.22E+00   1.50E+00   5.98E+00   4.98E+00   1.24E+00   8.05E-01   1.18E+00   4.21E-01   4.52E-01   6.30E-01   1.88E-02   1.06E-01   1.51E-01   7.57E+00   6.14E+01   4.96E-01   7.64E-02   5.45E-02   5.80E-02   7.94E+00   5.01E-02   2.24E-01   2.77E-02   3.93E+00   4.36E+00   6.52E+00   4.38E+00   -3.90E-01   -3.16E-01   2.48E+00   7.70E-01   1.06E-01   1.16E-01   9.95E-02   6.65E-02   1.40E-01   1.72E-01   6.07E-02   5.56E+00   1.07E+01   1.54E+01   1.34E+01   9.16E-01   2.98E-01
37   -6.97E-01   3.30E-01   1.27E-01   9.13E-01   1.58E-01   2.72E+00   5.71E-02   6.01E+00   4.72E-01   5.98E+00   4.05E+00   1.24E+00   7.86E-01   1.18E+00   4.21E-01   5.57E-01   6.13E-01   1.88E-02   9.44E-02   1.51E-01   4.52E-01   9.06E+01   4.96E-01   2.99E-02   2.67E-02   1.28E-01   7.94E+00   5.01E-02   2.24E-01   1.03E-02   3.93E+00   4.03E+00   6.52E+00   4.52E+00   -2.08E-01   -4.82E-01   2.74E+00   6.87E-01   1.03E-01   1.10E-01   9.95E-02   2.54E-02   1.40E-01   1.38E-01   6.07E-02   4.18E+00   1.07E+01   1.78E+01   1.34E+01   1.11E+00   2.16E-01
